INSERT INTO ACCOUNT (7407673756, 3268677207, 81166, 47500, 9750459509.82, 5028849760,  362)
INSERT INTO ACCOUNT (6847966706, 6519010643, 79461, 47008, 2178222188.62, 8408825666,  181)
INSERT INTO ACCOUNT (7819128934, 546167652, 2360, 80972, 5364209786.62, 5887458762,  597)
INSERT INTO ACCOUNT (1324476066, 7946634509, 88938, 38463, 3027885744.02, 2260853253,  710)
INSERT INTO ACCOUNT (7644169840, 9223274818, 40675, 90306, 8941285714.72, 6391324655,  871)
INSERT INTO ACCOUNT (5018074723, 6459002781, 64787, 92435, 2281996345.67, 8201444669,   17)
INSERT INTO ACCOUNT (5966146332, 729738471, 92616, 35868, 1747299079.45, 3929924109, 1290)
INSERT INTO ACCOUNT (715305717, 6093909139, 55209, 65322, 3081254031.16, 6991546863, 1584)
INSERT INTO ACCOUNT (8562091081, 1610942355, 6691, 94738, 6915367957.86, 5589161278,  944)
INSERT INTO ACCOUNT (5467387711, 4110233661, 12686, 48006, 1224408538.51, 7601167869,   90)
